wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
März,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Meer,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Mensch,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Meter,"UD::Goethe::A1,UD::UniLeipzig::7","Duden gibt nur „der Meter“ an, aber im Textkorpus ist auch „das Meter“ zu finden",,,,
Miete,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
mieten,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Milch,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Minute,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
mitbringen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
mitkommen,"UD::Goethe::A1,UD::UniLeipzig::16",,,,,
mitmachen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
mitnehmen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Mittag,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Mitte,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Mittwoch,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Moment,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Montag,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Morgen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Möbel,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
mögen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Mund,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Mutter,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
müssen,"UD::Goethe::A1,UD::UniLeipzig::5",,,,,
Nachmittag,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Nacht,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Name,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
nehmen,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Norden,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
